Conf_Rank,Conference,Conf_Tier,Teams,Avg_AdjEM,Median_AdjEM,Avg_AdjOE,Avg_AdjDE,Avg_SOS_Power,Top_Team,Top_Team_AdjEM
1,SEC,Power,16,16.287,18.599,118.984,102.696,8.744,Florida,34.141
2,Big 12,Power,16,16.231,13.187,117.158,100.928,8.87,Arizona,36.222
3,Big Ten,Power,18,15.393,15.984,117.644,102.251,9.113,Michigan,37.065
4,ACC,Power,18,13.569,11.002,115.628,102.059,7.277,Duke,32.048
5,Big East,Power,11,11.684,8.373,114.389,102.705,7.61,UConn,26.313
6,Mountain West,Mid,12,6.149,8.673,111.363,105.214,4.966,Utah St.,21.867
7,Atlantic 10,Mid,14,5.187,4.253,111.026,105.839,1.865,Saint Louis,26.05
8,WCC,Mid,12,3.749,0.456,109.896,106.147,2.549,Gonzaga,24.376
9,MVC,Mid,11,3.306,2.647,108.82,105.514,1.169,Belmont,14.075
10,American,Mid,13,1.063,1.761,108.821,107.758,0.996,Tulsa,14.935
11,Ivy League,Mid,8,-0.004,-0.246,109.701,109.705,-0.985,Yale,11.188
12,CUSA,Mid,12,-1.199,-1.819,107.66,108.859,-0.572,Liberty,8.058
13,CAA,Mid,13,-1.25,-1.046,107.493,108.744,-1.831,Hofstra,8.734
14,WAC,Mid,7,-1.271,-1.885,105.245,106.516,-0.419,Utah Valley,11.163
15,Big West,Mid,11,-2.55,-1.405,105.797,108.348,-1.65,Hawaii,7.558
16,Southland,Mid,12,-2.949,-6.786,106.102,109.051,-1.055,McNeese,12.144
17,Big Sky,Low,10,-3.052,-1.598,107.656,110.708,-1.345,Portland St.,4.419
18,Sun Belt,Low,14,-3.288,-3.663,105.999,109.286,-2.99,Troy,6.864
19,Horizon,Low,11,-3.773,-2.461,108.548,112.321,-1.712,Oakland,2.619
20,MAC,Low,13,-4.177,-5.351,106.909,111.086,-2.748,Miami (OH),12.203
21,Big South,Low,9,-5.534,-4.559,105.324,110.858,-3.953,High Point,10.323
22,Summit League,Low,9,-6.341,-5.38,107.095,113.437,-2.871,St. Thomas (MN),6.003
23,SoCon,Low,10,-6.349,-4.906,106.512,112.861,-3.802,ETSU,5.602
24,MAAC,Low,13,-7.199,-8.107,103.961,111.16,-5.301,Merrimack,6.48
25,ASUN,Low,12,-8.381,-7.808,107.411,115.792,-3.647,Central Ark.,4.697
26,OVC,Low,11,-9.113,-5.873,101.458,110.57,-6.055,Southeast Mo. St.,-0.501
27,Patriot,Low,10,-9.284,-11.657,103.299,112.583,-5.412,Navy,4.486
28,NEC,Low,10,-12.116,-11.961,100.917,113.033,-6.39,LIU,-0.827
29,America East,Low,9,-13.479,-15.33,100.501,113.979,-7.003,Vermont,-2.635
30,SWAC,Low,12,-16.061,-15.991,98.878,114.939,-5.495,Bethune-Cookman,-6.015
31,MEAC,Low,8,-17.946,-17.854,96.259,114.205,-6.808,Howard,-0.594
